dataset,robot_type,embodiment_type,data_type,task,data_id,directory,obj_pos_err,obj_quat_err,obj_pos_err_right,obj_pos_err_left,obj_quat_err_right,obj_quat_err_left,success,pos_err_threshold,quat_err_threshold
oakink,schunk,bimanual,mjwp_act,unplug,3,unplug/3,0.018511259933506483,0.13050467908941735,0.020192898148799095,0.01682962171821387,0.13761546631939886,0.12339389185943585,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,unplug,4,unplug/4,0.020649888639607882,0.12287540775565259,0.02038615055321816,0.020913626725997603,0.1362969613727315,0.10945385413857368,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,unplug,1,unplug/1,0.025106859757971063,0.1405325213485592,0.018936581523747272,0.03127713799219486,0.14200992546891372,0.13905511722820468,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,unplug,0,unplug/0,0.02325779696743386,0.25793995411454235,0.023588582591016913,0.022927011343850803,0.16730181680842834,0.3485780914206564,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,unplug,2,unplug/2,0.023201950556166466,0.3525703408090498,0.028021788110549162,0.01838211300178377,0.16502935266397484,0.5401113289541248,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pick_spoon_bowl,3,pick_spoon_bowl/3,0.06194766826900834,1.2437316095566304,0.11950617189005353,0.004389164647963151,2.4097231856373953,0.07774003347586549,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pick_spoon_bowl,4,pick_spoon_bowl/4,0.03318026068633904,0.7199965779798929,0.05866349155965835,0.007697029813019722,1.3859363204164101,0.0540568355433758,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pick_spoon_bowl,1,pick_spoon_bowl/1,0.0339689300745785,0.9759969468290632,0.06185078119973374,0.006087078949423257,1.9132206043971955,0.038773289260930974,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pick_spoon_bowl,0,pick_spoon_bowl/0,0.03814849864804663,0.7063096883568927,0.06364001829552489,0.012656979000568381,1.3751107254941173,0.03750865121966815,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pick_spoon_bowl,2,pick_spoon_bowl/2,0.03555613546021385,1.0650741625593452,0.06246140819822387,0.008650862722203825,2.0537094176543964,0.07643890746429392,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,lift_board,3,lift_board/3,0.01925169910803828,0.06564496653629164,0.01925169910803828,1.0955903090190507e-05,0.06564496653629164,0.00011613374506423006,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,lift_board,4,lift_board/4,0.021311836219495853,0.0767320806602209,0.021311836219495853,1.0955946879714767e-05,0.0767320806602209,0.00011613394244812362,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,lift_board,1,lift_board/1,0.01902552134610271,0.07887608391258527,0.01902552134610271,1.0956582564167269e-05,0.07887608391258527,0.00011613518786030709,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,lift_board,0,lift_board/0,0.018464445644000477,0.06822145545762334,0.018464445644000477,1.0955967434509563e-05,0.06822145545762334,0.00011613427547754816,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,lift_board,2,lift_board/2,0.13415625164700123,0.5717693645826397,0.13415625164700123,1.0955960406303001e-05,0.5717693645826397,0.00011613421534889202,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pour_tube,3,pour_tube/3,0.04699146245724003,1.13371059594282,0.06910027781266925,0.024882647101810804,0.5866093511371441,1.6808118407484958,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pour_tube,1,pour_tube/1,0.04280789009669635,0.9827293315928577,0.061246748678469506,0.024369031514923187,0.49627882380717075,1.4691798393785447,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pour_tube,0,pour_tube/0,0.04340085740310645,0.8726181588710219,0.062348487914052925,0.024453226892159983,0.4325646240326028,1.312671693709441,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,pour_tube,2,pour_tube/2,0.044898030413359075,0.8956116966186936,0.06495194098775654,0.02484411983896161,0.47687648845822117,1.314346904779166,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,wipe_board,3,wipe_board/3,0.07293376867811452,0.7174195099640387,0.07293376867811452,0.022869207924046567,0.7174195099640387,0.1322377854088469,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,wipe_board,4,wipe_board/4,0.04661543131272465,0.3525343902658756,0.04661543131272465,0.024952447665355475,0.3525343902658756,0.06779216462035999,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,wipe_board,1,wipe_board/1,0.050917738062974276,0.39131108989142865,0.050917738062974276,0.037530761780416734,0.39131108989142865,0.08029921760716237,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,wipe_board,0,wipe_board/0,0.0630900990438875,0.23537640808927415,0.0630900990438875,0.032099308636008045,0.23537640808927415,0.04546419756067282,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,wipe_board,2,wipe_board/2,0.05488027729348774,0.3587455958401887,0.05488027729348774,0.023278992154852754,0.3587455958401887,0.07851639534368693,True,0.1,0.5
